Name
G. Monfils
R. Nadal
F. Verdasco
Y. Sugita
R. Federer
CUE
D. Goffin
J. Isner
J. Del Potro
SHA
B. Fratangelo
J. Chardy
J. Sousa
M. Cecchinato
A. Mannarino
J. Struff
A. De Minaur
N. Kyrgios
R. Gasquet
E. Ymer
S. Tsitsipas
D. Shapovalov
G. Dimitrov
F. Tiafoe
D. Kudla
R. Haase
K. Nishikori
N. Djokovic
M. Ebden
A. Bedene
I. Karlovic
M. Zverev
A. Zverev
B. Paire
S. Wawrinka
M. Cilic
B. Coric
HAA
M. Jaziri
J. Donaldson
J. Kovalik
F. Fognini
P. Carreno Busta
N. Jarry
R. Bautista Agut
T. Fritz
V. Pospisil
H. Zeballos
K. Khachanov
DAN
DEL
F. Krajinovic
K. Anderson
A. Murray
M. Raonic
H. Chung
M. Kukushkin
N. Mahut
H. Hurkacz
A. Rublev
A. Muller
Berankis
R. Schwartzmann
G. Simon
BAU
M. Baghdatis
F. Lopez
P. Kohlschreiber
T. Bellucci
J. Tsonga
L. Caruana
R. Bemelmans
T. Berdych
K. Edmund
D. Medvedev
D. Thiem
