frame_1,x_0,y_0,x_1,y_1,serving_label,name_1_label,name_2_label,score_1_label,score_2_label,frame_2,serving_pred,name_1_pred,name_2_pred,score_1_pred,score_2_pred
0,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,0,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
1,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,1,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
2,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,2,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
3,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,3,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
4,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,4,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
5,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,5,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
6,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,6,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
7,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,7,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
8,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,8,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
9,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,9,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
10,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,10,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
11,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,11,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
12,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,12,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
13,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,13,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
14,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,14,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
15,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,15,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
16,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,16,name_2,G. MONFILS o,H.ZEBALLOS,3-6-1,1-5-6-3-1
17,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,17,name_2,G. MONFILS o,H.ZEBALLOS,3-6-1,1-5-6-3-1
18,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,18,name_2,G. MONFILS o,H.ZEBALLOS,3-6-1,1-5-6-3-1
19,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,19,name_2,G. MONFILS o,H.ZEBALLOS,3-6-1,1-5-6-3-1
20,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,20,name_2,G. MONFILS o,H.ZEBALLOS,3-6-1,1-5-6-3-1
21,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,21,name_2,G. MONFILS o,H.ZEBALLOS,3-6-1,1-5-6-3-1
22,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,22,name_2,G. MONFILS o,H.ZEBALLOS,3-6-1,1-5-6-3-1
23,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,23,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
24,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,24,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
25,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,25,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
26,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,26,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
27,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,27,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
28,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,28,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
29,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,29,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
30,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,30,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
31,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,31,name_2,G. MONFILS,H.ZEBALLOS,3-6-1,1-5-6-3-1
32,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,32,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
33,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,33,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
34,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,34,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
35,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,35,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
36,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,36,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
37,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,37,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
38,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,38,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
39,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,39,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
40,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,40,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
